Hostname,Name,Description,Serial Number,Start Date,End Date
SNCC-GF-R3,Switch 1,C9300L-24P-4X,FOC2644Y91W,2023-MAR-20,2026-MAR-20
SNCC-GF-R4,Switch 1,C9300L-24P-4X,FOC2644Y6B9,2023-MAR-20,2026-MAR-20
SNCC-GF-R5,Switch 1,C9300L-24P-4X,FOC2644Y9MW,2023-MAR-20,2026-MAR-20
SNCC-GF-R6,Switch 1,C9300L-24P-4X,FOC2630Y0TM,2022-SEP-02,2025-SEP-02
TIP-A wing-1F,Switch 1,C9300L-24T-4X,FOC2651YJUQ,2023-JAN-26,2026-JAN-26
TIP-A wing-1F,Switch 2,C9300L-24P-4X,FOC2630Y4DG,2023-JAN-26,2026-JAN-26
TIP-A wing-2F,Switch 1,C9300L-24T-4X,FOC2651YJJ0,2023-JAN-26,2026-JAN-26
TIP-A wing-2F,Switch 2,C9300L-24P-4X - Provisioned,,2023-JAN-26,2026-JAN-26
TIP-A wing-3F,Switch 1,C9300L-24P-4X,FOC2630Y1JJ,2022-SEP-02,2025-SEP-02
TIP-A wing-4F,Switch 1,C9300L-24P-4X,FOC2630Y2YE,2022-SEP-02,2025-SEP-02
TIP-A wing-GF,Switch 1,C9300L-24P-4X,FOC2630Y2J6,2022-SEP-02,2025-SEP-02
TIP-A wing-GF,Switch 2,C9300L-24T-4X,FOC2651YJHU,2022-SEP-02,2025-SEP-02
TIP-B wing-1F,Switch 1,C9300L-24T-4X,FOC2651YJVV,2022-SEP-02,2025-SEP-02
TIP-B wing-1F,Switch 2,C9300L-24P-4X,FOC2629YU0A,2022-SEP-02,2025-SEP-02
TIP-B wing-2F,Switch 1,C9300L-24P-4X,FOC2630Y3XK,2022-SEP-02,2025-SEP-02
TIP-B wing-3F,Switch 1,C9300L-24P-4X,FOC2630Y24C,2022-SEP-02,2025-SEP-02
TIP-B wing-4F,Switch 1,C9300L-24P-4X,FOC2630Y3JL,2022-SEP-02,2025-SEP-02
TIP-B wing-5F,Switch 1,C9300L-24P-4X,FOC2630Y2QP,2022-SEP-02,2025-SEP-02
TIP-B wing-GF,Switch 1,C9300L-24P-4X,FOC2630Y25Q,2023-JAN-26,2026-JAN-26
TIP-B wing-GF,Switch 2,C9300L-24T-4X,FOC2651YJKL,2023-JAN-26,2026-JAN-26
TIP-B wing-GF,Switch 3,C9300L-24P-4X - Provisioned,,2023-JAN-26,2026-JAN-26
TIP-Dist-SW,Switch 1,C9500-16X,FOC2631YACR,,
TIP-Dist-SW,Switch 2,C9500-16X,FOC2631Y8DF,,
